date,temperature_2m_k,total_precip_m_day,snow_depth_m_we
2016-01-01,268.07,0.0,0.05
2016-01-02,268.58,0.0,0.05
2016-01-03,268.95,5.5e-05,0.05
2016-01-04,269.39,0.0,0.05
2016-01-05,270.13,1.9e-05,0.05
2016-01-06,269.65,2e-06,0.05
2016-01-07,270.04,1e-06,0.05
2016-01-08,268.53,2.8e-05,0.05
2016-01-09,266.52,0.000227,0.05
2016-01-10,266.96,1e-06,0.05
2016-01-11,269.43,0.0,0.05
2016-01-12,270.62,0.0,0.05
2016-01-13,269.73,0.000125,0.05
2016-01-14,268.97,3e-06,0.05
2016-01-15,269.05,7.7e-05,0.05
2016-01-16,268.53,0.0,0.05
2016-01-17,267.48,0.0,0.05
2016-01-18,269.41,0.0,0.05
2016-01-19,270.32,0.000162,0.05
2016-01-20,268.84,9e-06,0.05
2016-01-21,267.19,3e-06,0.05
2016-01-22,266.47,0.0,0.05
2016-01-23,266.84,2e-06,0.05
2016-01-24,267.56,4e-06,0.05
2016-01-25,267.77,0.000145,0.05
2016-01-26,267.88,0.000165,0.05
2016-01-27,268.77,0.00027,0.05
2016-01-28,270.43,5e-06,0.05
2016-01-29,272.83,1e-06,0.05
2016-01-30,273.93,1e-06,0.05
2016-01-31,274.17,0.0,0.05
2016-02-01,273.56,2e-06,0.05
2016-02-02,273.99,2e-06,0.05
2016-02-03,274.37,3e-06,0.05
2016-02-04,277.04,1e-06,0.05
2016-02-05,278.44,0.0,0.05
2016-02-06,278.02,1e-06,0.05
2016-02-07,274.91,5e-06,0.05
2016-02-08,271.21,0.000959,0.05
2016-02-09,271.59,1.8e-05,0.05
2016-02-10,272.84,1e-06,0.05
2016-02-11,271.53,2e-06,0.05
2016-02-12,273.19,1e-06,0.05
2016-02-13,273.37,3e-06,0.05
2016-02-14,273.47,0.0,0.05
2016-02-15,273.98,3e-06,0.05
2016-02-16,275.02,1e-06,0.05
2016-02-17,276.23,1e-06,0.05
2016-02-18,277.61,0.0,0.05
2016-02-19,279.7,1e-06,0.05
2016-02-20,279.41,0.000137,0.05
2016-02-21,276.11,3e-06,0.05
2016-02-22,275.98,2e-06,0.05
2016-02-23,274.73,0.00023,0.05
2016-02-24,270.38,0.001977,0.05
2016-02-25,267.89,1e-06,0.05
2016-02-26,270.24,4.4e-05,0.05
2016-02-27,271.25,0.000259,0.05
2016-02-28,271.44,0.000673,0.05
2016-02-29,271.01,0.000536,0.05
2016-03-01,270.19,0.000286,0.05
2016-03-02,271.83,0.0,0.05
2016-03-03,273.53,7.9e-05,0.05
2016-03-04,272.53,0.000319,0.05
2016-03-05,272.81,0.000338,0.05
2016-03-06,273.23,0.000221,0.05
2016-03-07,273.24,6.4e-05,0.05
2016-03-08,273.54,0.000252,0.05
2016-03-09,273.84,5e-06,0.05
2016-03-10,274.76,7.2e-05,0.05
2016-03-11,275.89,1.1e-05,0.05
2016-03-12,276.29,0.000112,0.05
2016-03-13,275.94,0.000334,0.05
2016-03-14,274.15,0.000111,0.05
2016-03-15,272.98,0.000257,0.05
2016-03-16,271.93,0.000418,0.05
2016-03-17,273.57,0.000182,0.05
2016-03-18,274.82,0.000271,0.05
2016-03-19,275.6,6e-06,0.05
2016-03-20,276.24,3e-06,0.05
2016-03-21,275.86,0.0,0.05
2016-03-22,274.99,0.000194,0.05
2016-03-23,273.51,7.1e-05,0.05
2016-03-24,276.18,2e-06,0.05
2016-03-25,280.46,1e-06,0.05
2016-03-26,280.8,0.0,0.05
2016-03-27,279.58,0.000101,0.05
2016-03-28,275.91,0.001752,0.05
2016-03-29,277.29,0.000103,0.05
2016-03-30,276.47,0.000779,0.05
2016-03-31,275.88,0.001597,0.05
2016-04-01,276.12,0.000471,0.05
2016-04-02,279.15,6e-06,0.05
2016-04-03,281.05,8.8e-05,0.05
2016-04-04,281.48,2e-06,0.05
2016-04-05,280.19,9.4e-05,0.05
2016-04-06,280.19,3.8e-05,0.05
2016-04-07,279.58,9e-06,0.05
2016-04-08,278.36,7.1e-05,0.05
2016-04-09,278.85,4e-06,0.05
2016-04-10,280.5,4e-06,0.05
2016-04-11,279.84,0.000399,0.05
2016-04-12,279.76,0.0,0.05
2016-04-13,278.55,3e-06,0.05
2016-04-14,276.36,0.000785,0.05
2016-04-15,279.16,9.6e-05,0.05
2016-04-16,277.86,0.001582,0.05
2016-04-17,279.7,0.000498,0.05
2016-04-18,280.91,4.1e-05,0.05
2016-04-19,282.12,8.4e-05,0.05
2016-04-20,281.99,5e-06,0.05
2016-04-21,281.93,8.7e-05,0.05
2016-04-22,281.4,6.3e-05,0.05
2016-04-23,280.39,6.3e-05,0.05
2016-04-24,279.08,1.3e-05,0.05
2016-04-25,279.56,0.0,0.05
2016-04-26,280.89,4e-06,0.05
2016-04-27,280.81,2e-06,0.05
2016-04-28,279.68,3.1e-05,0.05
2016-04-29,280.01,5e-06,0.05
2016-04-30,280.06,0.000386,0.05
2016-05-01,279.79,0.000412,0.05
2016-05-02,281.55,3e-06,0.05
2016-05-03,280.22,0.00052,0.05
2016-05-04,280.66,0.000387,0.05
2016-05-05,280.66,0.000472,0.05
2016-05-06,281.3,0.000492,0.05
2016-05-07,281.29,0.000684,0.05
2016-05-08,278.43,0.0028,0.05
2016-05-09,282.32,1.1e-05,0.05
2016-05-10,282.79,6.4e-05,0.05
2016-05-11,282.78,0.000126,0.05
2016-05-12,282.66,0.000465,0.05
2016-05-13,283.04,0.000755,0.05
2016-05-14,282.99,0.001753,0.05
2016-05-15,283.3,0.000774,0.05
2016-05-16,284.91,0.000734,0.05
2016-05-17,282.81,0.00137,0.05
2016-05-18,280.89,0.001836,0.05
2016-05-19,283.93,0.000127,0.05
2016-05-20,283.25,0.003071,0.05
2016-05-21,282.23,0.005552,0.05
2016-05-22,281.85,5e-06,0.05
2016-05-23,283.88,1e-06,0.05
2016-05-24,283.76,0.000206,0.05
2016-05-25,283.0,0.002588,0.05
2016-05-26,281.47,0.002488,0.05
2016-05-27,282.66,0.004045,0.05
2016-05-28,279.22,0.012494,0.05
2016-05-29,282.07,0.001041,0.05
2016-05-30,282.55,0.001008,0.05
2016-05-31,280.31,0.010278,0.05
2016-06-01,282.45,0.000248,0.05
2016-06-02,284.32,8.5e-05,0.05
2016-06-03,284.44,0.000979,0.05
2016-06-04,283.86,0.002187,0.05
2016-06-05,284.93,0.000621,0.05
2016-06-06,284.5,0.002859,0.05
2016-06-07,285.4,0.001061,0.05
2016-06-08,284.85,0.000693,0.05
2016-06-09,285.56,0.00088,0.05
2016-06-10,285.58,0.00057,0.05
2016-06-11,284.56,0.008298,0.05
2016-06-12,285.39,0.001546,0.05
2016-06-13,286.12,0.001214,0.05
2016-06-14,286.19,0.006402,0.05
2016-06-15,284.34,0.010586,0.05
2016-06-16,285.53,0.002341,0.05
2016-06-17,286.11,0.002539,0.05
2016-06-18,285.83,0.00567,0.05
2016-06-19,285.11,0.008076,0.05
2016-06-20,284.3,0.011575,0.05
2016-06-21,284.66,0.012554,0.05
2016-06-22,284.78,0.013327,0.05
2016-06-23,284.96,0.006681,0.05
2016-06-24,285.09,0.011224,0.05
2016-06-25,285.93,0.016381,0.05
2016-06-26,283.49,0.017458,0.05
2016-06-27,283.86,0.014106,0.05
2016-06-28,284.43,0.011248,0.05
2016-06-29,284.04,0.006349,0.05
2016-06-30,285.1,0.006138,0.05
2016-07-01,284.2,0.017808,0.05
2016-07-02,284.27,0.004439,0.05
2016-07-03,284.83,0.009237,0.05
2016-07-04,286.0,0.003003,0.05
2016-07-05,285.85,0.005003,0.05
2016-07-06,285.72,0.006665,0.05
2016-07-07,286.76,0.002785,0.05
2016-07-08,285.82,0.01224,0.05
2016-07-09,286.14,0.004228,0.05
2016-07-10,285.63,0.014316,0.05
2016-07-11,284.22,0.012882,0.05
2016-07-12,285.76,0.011411,0.05
2016-07-13,283.36,0.008542,0.05
2016-07-14,285.3,0.002456,0.05
2016-07-15,286.11,0.00077,0.05
2016-07-16,285.41,0.004014,0.05
2016-07-17,284.79,0.003859,0.05
2016-07-18,285.98,0.007775,0.05
2016-07-19,285.17,0.012378,0.05
2016-07-20,285.49,0.019467,0.05
2016-07-21,282.82,0.016018,0.05
2016-07-22,282.66,0.011401,0.05
2016-07-23,284.5,0.016132,0.05
2016-07-24,283.39,0.002927,0.05
2016-07-25,284.32,0.005872,0.05
2016-07-26,283.9,0.009264,0.05
2016-07-27,283.39,0.009266,0.05
2016-07-28,283.23,0.011881,0.05
2016-07-29,283.98,0.007748,0.05
2016-07-30,283.75,0.014412,0.05
2016-07-31,283.73,0.005717,0.05
2016-08-01,283.37,0.008896,0.05
2016-08-02,283.16,0.005135,0.05
2016-08-03,283.88,0.004125,0.05
2016-08-04,285.11,0.000676,0.05
2016-08-05,284.69,0.005217,0.05
2016-08-06,284.0,0.014888,0.05
2016-08-07,284.41,0.013847,0.05
2016-08-08,283.92,0.008916,0.05
2016-08-09,285.25,0.001747,0.05
2016-08-10,285.47,0.00109,0.05
2016-08-11,285.47,0.00117,0.05
2016-08-12,285.48,0.001556,0.05
2016-08-13,284.28,0.013758,0.05
2016-08-14,283.19,0.016135,0.05
2016-08-15,282.6,0.012644,0.05
2016-08-16,284.7,0.001955,0.05
2016-08-17,284.36,0.000698,0.05
2016-08-18,284.6,0.003462,0.05
2016-08-19,283.87,0.004448,0.05
2016-08-20,285.5,9.9e-05,0.05
2016-08-21,285.29,0.001244,0.05
2016-08-22,284.94,0.001941,0.05
2016-08-23,285.47,0.000529,0.05
2016-08-24,283.77,0.002841,0.05
2016-08-25,284.36,0.000884,0.05
2016-08-26,283.95,0.001743,0.05
2016-08-27,284.6,0.000274,0.05
2016-08-28,284.98,0.000766,0.05
2016-08-29,284.75,0.004765,0.05
2016-08-30,284.46,0.00685,0.05
2016-08-31,284.68,0.006097,0.05
2016-09-01,285.05,0.005618,0.05
2016-09-02,283.72,0.010947,0.05
2016-09-03,283.23,0.010803,0.05
2016-09-04,284.03,0.016638,0.05
2016-09-05,283.81,0.014181,0.05
2016-09-06,283.71,0.010536,0.05
2016-09-07,283.26,0.008508,0.05
2016-09-08,283.72,0.0023,0.05
2016-09-09,283.59,0.003484,0.05
2016-09-10,283.84,0.001453,0.05
2016-09-11,283.1,0.010751,0.05
2016-09-12,282.75,0.012678,0.05
2016-09-13,282.61,0.005936,0.05
2016-09-14,282.69,0.003671,0.05
2016-09-15,282.5,0.003371,0.05
2016-09-16,282.78,0.002556,0.05
2016-09-17,282.51,0.008052,0.05
2016-09-18,282.24,0.003005,0.05
2016-09-19,282.14,0.00192,0.05
2016-09-20,282.16,0.002507,0.05
2016-09-21,281.59,0.010666,0.05
2016-09-22,281.4,0.004587,0.05
2016-09-23,280.66,0.006359,0.05
2016-09-24,281.01,0.006909,0.05
2016-09-25,279.54,0.009551,0.05
2016-09-26,280.87,0.009191,0.05
2016-09-27,280.25,0.003684,0.05
2016-09-28,281.13,0.005689,0.05
2016-09-29,281.01,0.004857,0.05
2016-09-30,280.65,0.002597,0.05
2016-10-01,280.35,0.00019,0.05
