date,lst_kelvin,lst_anomaly_kelvin,qa_passed
2016-01-01,NaN,NaN,0
2016-01-02,NaN,NaN,0
2016-01-03,262.52,7.21,1
2016-01-04,252.19,-3.17,1
2016-01-05,257.57,2.16,1
2016-01-06,248.1,-7.36,1
2016-01-07,255.17,-0.35,1
2016-01-08,NaN,NaN,0
2016-01-09,NaN,NaN,0
2016-01-10,NaN,NaN,0
2016-01-11,250.61,-5.17,1
2016-01-12,254.71,-1.14,1
2016-01-13,255.22,-0.71,1
2016-01-14,257.01,1.0,1
2016-01-15,254.31,-1.78,1
2016-01-16,NaN,NaN,0
2016-01-17,262.91,6.65,1
2016-01-18,250.43,-5.93,1
2016-01-19,248.61,-7.84,1
2016-01-20,252.45,-4.1,1
2016-01-21,260.36,3.71,1
2016-01-22,257.34,0.59,1
2016-01-23,NaN,NaN,0
2016-01-24,249.3,-7.67,1
2016-01-25,256.3,-0.78,1
2016-01-26,253.65,-3.55,1
2016-01-27,257.73,0.42,1
2016-01-28,255.82,-1.61,1
2016-01-29,252.24,-5.32,1
2016-01-30,256.0,-1.68,1
2016-01-31,255.57,-2.24,1
2016-02-01,256.06,-1.88,1
2016-02-02,254.5,-3.58,1
2016-02-03,NaN,NaN,0
2016-02-04,259.47,1.12,1
2016-02-05,264.76,6.27,1
2016-02-06,261.1,2.47,1
2016-02-07,NaN,NaN,0
2016-02-08,NaN,NaN,0
2016-02-09,259.27,0.19,1
2016-02-10,251.67,-7.56,1
2016-02-11,NaN,NaN,0
2016-02-12,259.74,0.2,1
2016-02-13,NaN,NaN,0
2016-02-14,260.77,0.91,1
2016-02-15,256.7,-3.32,1
2016-02-16,256.5,-3.69,1
2016-02-17,NaN,NaN,0
2016-02-18,260.45,-0.07,1
2016-02-19,257.71,-2.98,1
2016-02-20,261.47,0.61,1
2016-02-21,256.64,-4.4,1
2016-02-22,265.66,4.45,1
2016-02-23,261.05,-0.34,1
2016-02-24,262.5,0.93,1
2016-02-25,256.58,-5.17,1
2016-02-26,NaN,NaN,0
2016-02-27,266.99,4.88,1
2016-02-28,268.21,5.92,1
2016-02-29,263.88,1.4,1
2016-03-01,262.56,-0.11,1
2016-03-02,269.44,6.59,1
2016-03-03,267.42,4.38,1
2016-03-04,262.56,-0.67,1
2016-03-05,263.39,-0.03,1
2016-03-06,258.83,-4.78,1
