date,lst_day_kelvin,lst_anomaly_kelvin,qa_flag
2016-01-01,268.47,-2.59,1
2016-01-02,271.52,1.19,1
2016-01-03,270.37,1.98,1
2016-01-04,271.8,0.25,1
2016-01-06,269.34,-2.17,1
2016-01-07,270.71,-1.94,1
2016-01-08,266.69,-4.38,1
2016-01-10,266.06,-3.83,1
2016-01-11,270.25,-2.96,1
2016-01-12,271.49,-1.56,1
2016-01-13,269.09,-3.9,1
2016-01-14,269.37,-3.4,1
2016-01-15,266.14,-5.18,1
2016-01-16,272.79,-0.14,1
2016-01-17,272.25,1.38,1
2016-01-18,270.05,-2.68,1
2016-01-21,253.43,-18.67,1
2016-01-22,249.71,-22.79,1
2016-01-23,258.29,-15.35,1
2016-01-24,252.11,-18.06,1
2016-01-25,263.1,-8.98,1
2016-01-27,255.88,-13.88,1
2016-01-28,266.65,-5.79,1
2016-01-29,269.5,-2.0,1
2016-01-30,269.2,-2.3,1
2016-01-31,268.78,-3.39,1
2016-02-01,274.39,2.22,1
2016-02-02,271.01,-0.65,1
2016-02-03,270.5,-3.67,1
2016-02-04,274.93,0.37,1
2016-02-05,274.79,1.57,1
2016-02-07,271.03,-0.69,1
2016-02-09,263.03,-8.08,1
2016-02-10,269.69,-2.48,1
2016-02-11,265.16,-9.09,1
2016-02-12,268.32,-6.0,1
2016-02-13,268.78,-6.06,1
2016-02-14,270.13,-3.77,1
2016-02-15,271.95,-2.95,1
2016-02-16,266.44,-7.37,1
2016-02-17,278.56,3.12,1
2016-02-18,272.94,-3.11,1
2016-02-28,273.53,-3.33,1
2016-02-29,271.04,-4.76,1
2016-03-01,268.43,-9.33,1
2016-03-02,275.26,-2.23,1
2016-03-03,270.28,-8.79,1
2016-03-04,274.67,-1.44,1
2016-03-05,272.8,-3.18,1
2016-03-06,272.94,-2.11,1
2016-03-07,264.7,-13.84,1
2016-03-08,269.3,-7.88,1
2016-03-09,268.64,-8.4,1
2016-03-10,268.92,-9.3,1
2016-03-11,271.54,-6.24,1
2016-03-12,268.82,-8.39,1
2016-03-15,256.65,-20.8,1
2016-03-16,262.88,-14.58,1
2016-03-18,269.56,-8.61,1
2016-03-19,268.95,-10.18,1
2016-03-20,271.94,-6.0,1
2016-03-21,267.62,-12.28,1
2016-03-22,263.9,-14.5,1
2016-03-23,269.85,-8.71,1
2016-03-24,272.41,-8.97,1
2016-03-25,278.49,-1.36,1
2016-03-26,270.34,-10.61,1
2016-03-29,272.4,-9.23,1
2016-03-30,267.84,-14.15,1
2016-04-01,272.74,-8.32,1
2016-04-02,273.68,-6.72,1
2016-04-03,278.98,-1.66,1
2016-04-04,273.76,-6.64,1
2016-04-05,280.53,-2.63,1
2016-04-06,276.35,-5.78,1
2016-04-08,271.35,-10.55,1
2016-04-09,274.14,-8.54,1
2016-04-10,278.89,-3.86,1
2016-04-11,274.57,-7.77,1
2016-04-12,278.44,-5.34,1
2016-04-13,278.06,-5.74,1
2016-04-14,279.53,-4.47,1
2016-04-15,281.24,-2.85,1
2016-04-16,277.17,-4.93,1
2016-04-18,279.65,-4.5,1
2016-04-20,279.31,-5.14,1
2016-04-21,283.83,-1.05,1
2016-04-22,280.71,-2.97,1
2016-04-24,275.38,-8.6,1
2016-04-25,275.87,-9.26,1
2016-04-26,270.94,-14.69,1
2016-04-27,278.69,-5.81,1
2016-04-28,280.35,-3.73,1
2016-04-29,279.09,-7.13,1
2016-04-30,277.32,-7.97,1
2016-05-01,280.74,-3.65,1
2016-05-03,282.0,-2.2,1
2016-05-05,274.91,-7.88,1
2016-05-06,282.06,-1.46,1
2016-05-08,276.41,-8.67,1
2016-05-10,282.24,-2.44,1
2016-05-11,269.79,-15.13,1
2016-05-12,285.97,2.37,1
2016-05-13,283.61,-0.17,1
2016-05-14,286.65,1.14,1
2016-05-15,285.95,2.24,1
2016-05-16,289.6,3.94,1
2016-05-17,287.68,1.96,1
2016-05-18,285.53,-2.17,1
2016-05-19,291.89,8.52,1
2016-05-22,285.63,-0.23,1
2016-05-23,288.2,0.4,1
2016-05-24,285.37,1.3,1
2016-05-25,279.05,-7.09,1
2016-05-26,277.07,-6.76,1
2016-05-27,283.26,-3.02,1
2016-05-28,276.57,-8.11,1
2016-05-30,275.6,-10.8,1
2016-05-31,281.92,-4.34,1
2016-06-01,288.15,1.89,1
2016-06-02,287.1,0.54,1
2016-06-03,285.64,-0.52,1
2016-06-04,284.22,-5.27,1
2016-06-05,280.85,-7.59,1
2016-06-06,283.81,-2.53,1
2016-06-07,284.8,-3.24,1
2016-06-08,285.22,-4.53,1
2016-06-09,291.78,2.02,1
2016-06-10,284.61,-3.99,1
2016-06-11,286.38,0.06,1
2016-06-12,284.41,-2.41,1
2016-06-13,285.76,-0.77,1
2016-06-14,282.03,-3.34,1
2016-06-17,268.48,-16.1,1
2016-06-18,288.64,4.57,1
2016-06-21,274.03,-9.28,1
2016-06-22,273.64,-9.65,1
2016-06-23,282.17,-3.55,1
2016-06-24,269.13,-16.91,1
