date,vv_lake_db,vh_lake_db,vv_moraine_db,orbit_direction,relative_orbit
2016-01-02,-14.9782,-16.7829,-10.379,ASCENDING,116
2016-01-09,-14.4706,-21.041,-14.0569,DESCENDING,75
2016-01-21,-14.3915,-21.5737,-11.7894,ASCENDING,168
2016-01-28,-14.6513,-22.1276,-11.9022,ASCENDING,111
2016-02-03,-16.1838,-24.5682,-11.0853,DESCENDING,134
2016-02-10,-16.0709,-20.9192,-10.7614,DESCENDING,166
2016-02-16,-16.8983,-22.054,-11.3158,ASCENDING,42
2016-02-22,-13.8198,-15.9459,-10.0328,ASCENDING,116
2016-02-28,-14.5597,-19.4879,-12.2161,DESCENDING,91
2016-03-05,-14.6035,-15.2649,-10.361,DESCENDING,140
2016-03-11,-17.3338,-16.5319,-12.9311,DESCENDING,125
2016-03-17,-14.2784,-19.4529,-12.466,DESCENDING,66
2016-03-23,-12.9177,-19.285,-8.6636,DESCENDING,61
2016-03-29,-16.791,-20.5899,-9.0531,ASCENDING,75
2016-04-03,-13.6018,-14.1946,-10.7992,DESCENDING,42
2016-04-10,-12.2556,-19.1524,-12.5744,ASCENDING,111
2016-04-16,-16.8573,-21.8607,-11.6551,ASCENDING,141
2016-04-28,-16.1288,-16.6149,-10.4193,DESCENDING,116
2016-05-04,-14.8523,-16.2551,-11.4633,DESCENDING,3
2016-05-10,-17.4397,-18.2432,-13.4094,ASCENDING,128
2016-05-16,-16.5141,-17.0232,-15.2737,DESCENDING,64
2016-05-21,-13.1133,-20.3338,-10.5209,DESCENDING,78
2016-05-28,-14.8119,-17.3568,-12.5479,ASCENDING,81
2016-06-03,-14.0865,-18.7293,-13.3717,DESCENDING,123
2016-06-09,-14.7715,-17.82,-12.0951,DESCENDING,109
2016-06-15,-15.1988,-18.8838,-10.4458,DESCENDING,83
2016-06-20,-11.084,-18.8401,-14.6783,DESCENDING,45
2016-06-26,-13.4914,-17.0394,-13.0322,ASCENDING,85
2016-07-02,-13.6209,-20.3905,-11.3915,DESCENDING,14
2016-07-08,-15.3873,-21.5733,-12.7434,ASCENDING,163
2016-07-20,-14.7198,-15.3591,-12.5534,ASCENDING,67
2016-07-26,-16.0518,-16.9611,-11.7376,ASCENDING,27
2016-08-01,-13.7686,-16.4595,-8.8359,DESCENDING,47
2016-08-06,-12.2703,-18.3112,-9.7605,ASCENDING,63
2016-08-12,-15.6728,-18.9009,-12.526,DESCENDING,166
