date,ndwi_mean,lake_area_km2,green_mean,red_mean,nir_mean,cloud_fraction,n_valid_pixels
2016-01-04,0.3897,2.5102,1439.0,850.8,238.7,0.1966,16068
2016-01-09,0.3425,2.4652,1629.9,813.3,221.7,0.0618,18764
2016-01-14,0.3677,2.4275,1669.9,817.9,209.9,0.0393,19214
2016-01-20,0.3963,2.4328,1388.0,705.6,224.6,0.1357,17286
2016-01-24,0.3735,2.4539,1504.0,847.8,224.9,0.1008,17984
2016-01-29,0.3782,2.4269,1724.0,797.5,171.9,0.02,19600
2016-02-04,0.3307,2.445,1605.7,778.0,222.5,0.0975,18050
2016-02-09,0.3929,2.4359,1421.6,946.8,269.9,0.02,19600
2016-02-14,0.4067,2.4261,1528.1,979.4,310.5,0.0972,18056
2016-02-19,0.385,2.4636,1589.9,853.2,226.0,0.1365,17270
2016-02-25,0.3282,2.4362,1581.3,828.5,213.2,0.02,19600
2016-03-02,0.3823,2.4552,1791.5,965.2,344.0,0.027,19460
2016-03-07,0.3844,2.4553,1545.3,888.3,355.4,0.0849,18302
2016-03-11,0.3969,2.4634,1702.7,928.4,228.2,0.0345,19310
2016-03-15,0.3854,2.4318,1453.2,887.0,253.5,0.02,19600
2016-03-21,0.3594,2.4533,1598.0,946.0,315.3,0.0227,19546
2016-03-26,0.3192,2.4286,1572.6,918.0,213.3,0.0261,19478
2016-03-31,0.3737,2.4353,1459.3,738.6,216.0,0.0706,18588
2016-04-05,0.3999,2.4254,1405.1,862.2,259.8,0.0367,19266
2016-04-10,0.2953,2.4382,1521.3,830.2,289.1,0.1135,17730
2016-04-14,0.3579,2.4356,1423.9,831.5,317.4,0.02,19600
2016-04-19,0.3486,2.4365,1725.6,797.9,340.7,0.1681,16638
2016-04-24,0.3036,2.4049,1426.9,980.2,294.0,0.0208,19584
2016-04-29,0.3223,2.451,1559.7,945.5,244.2,0.02,19600
2016-05-04,0.2763,2.4701,1597.5,997.4,199.6,0.0235,19530
2016-05-09,0.308,2.4628,1683.7,776.2,253.5,0.1461,17078
2016-05-13,0.3385,2.4772,1333.4,729.0,278.7,0.1339,17322
2016-05-18,0.3803,2.4557,1618.5,892.2,251.3,0.0813,18374
2016-05-23,0.4124,2.4701,1618.0,833.6,199.0,0.02,19600
2016-05-27,0.2896,2.4441,1590.4,933.1,269.7,0.0379,19242
2016-06-01,0.4329,2.4339,1453.6,875.1,225.7,0.5201,9598
2016-06-05,NaN,NaN,NaN,NaN,NaN,0.8271,0
2016-06-10,0.3549,2.4358,1339.0,857.2,277.2,0.5614,8772
2016-06-16,NaN,NaN,NaN,NaN,NaN,0.9638,0
2016-06-21,NaN,NaN,NaN,NaN,NaN,0.9307,0
2016-06-25,0.3571,2.4459,1698.8,986.3,275.9,0.7849,4301
2016-06-30,0.2614,2.4265,1621.3,949.1,286.9,0.6727,6546
2016-07-05,0.3454,2.4279,1697.7,972.7,173.8,0.5561,8878
2016-07-10,0.3424,2.4789,1487.4,929.5,206.1,0.7388,5224
2016-07-15,NaN,NaN,NaN,NaN,NaN,0.8244,0
2016-07-20,0.4133,2.4492,1631.4,923.1,173.0,0.774,4520
2016-07-24,NaN,NaN,NaN,NaN,NaN,0.8906,0
2016-07-28,0.3119,2.4337,1715.5,919.7,308.0,0.5986,8028
2016-08-02,0.3069,2.4712,1639.9,852.9,222.6,0.5785,8430
2016-08-06,0.3302,2.4827,1725.6,831.1,185.5,0.6445,7110
2016-08-11,0.3663,2.4359,1638.3,962.9,241.0,0.6357,7285
2016-08-16,0.392,2.4684,1555.7,881.1,226.6,0.7027,5946
2016-08-21,0.3944,2.4502,1448.7,960.4,184.3,0.6017,7966
2016-08-26,NaN,NaN,NaN,NaN,NaN,0.8537,0
2016-08-30,NaN,NaN,NaN,NaN,NaN,0.8589,0
2016-09-04,NaN,NaN,NaN,NaN,NaN,0.8281,0
2016-09-09,NaN,NaN,NaN,NaN,NaN,0.9367,0
2016-09-14,NaN,NaN,NaN,NaN,NaN,0.9086,0
2016-09-19,NaN,NaN,NaN,NaN,NaN,0.8002,0
